"1"	"酒楼餐饮"	""	"001"	"1"	"050000"
"2"	"美容美发"	""	"002"	"1"	"071100"
"3"	"服饰鞋包"	""	"003"	"1"	""
"4"	"休闲娱乐"	""	"004"	"1"	""
"5"	"百货超市"	""	"005"	"1"	""
"6"	"生活服务"	""	"006"	"1"	""
"7"	"电子通讯"	""	"007"	"1"	""
"8"	"汽修美容"	""	"008"	"1"	""
"9"	"医药保健"	""	"009"	"1"	""
"10"	"家居建材"	""	"010"	"1"	""
"11"	"教育培训"	""	"011"	"1"	""
"12"	"旅馆宾馆"	""	"012"	"1"	""
"13"	"餐馆"	"1"	"001001"	"2"	"050000"
"14"	"食堂"	"1"	"001002"	"2"	"050000"
"15"	"面包店"	"1"	"001003"	"2"	"050900"
"16"	"冷饮甜品店"	"1"	"001004"	"2"	"050900"
"17"	"咖啡馆"	"1"	"001005"	"2"	"050500"
"18"	"茶艺馆"	"1"	"001006"	"2"	"050600"
"19"	"小吃店"	"1"	"001007"	"2"	"050400"
"20"	"快餐店"	"1"	"001008"	"2"	"050300"
"21"	"烧烤店"	"1"	"001009"	"2"	"050100"
"22"	"酒楼"	"1"	"001010"	"2"	"050100"
"23"	"火锅干锅"	"1"	"001011"	"2"	"050117"
"24"	"早餐店"	"1"	"001012"	"2"	"050300"
"25"	"农家乐"	"1"	"001013"	"2"	"050000"
"26"	"酒吧"	"1"	"001014"	"2"	"080304"
"27"	"美容院"	"2"	"002001"	"2"	"071100"
"28"	"美发店"	"2"	"002002"	"2"	"071100"
"29"	"美甲店"	"2"	"002003"	"2"	"071100"
"30"	"SPA馆"	"2"	"002004"	"2"	"071100"
"31"	"服装店"	"3"	"003001"	"2"	"061100"
"32"	"内衣店"	"3"	"003002"	"2"	"061100"
"33"	"童装店"	"3"	"003003"	"2"	"061100"
"34"	"鞋店"	"3"	"003004"	"2"	"061102"
"35"	"箱包店"	"3"	"003005"	"2"	"061104"
"36"	"饰品店"	"3"	"003006"	"2"	"061202"
"37"	"皮具店"	"3"	"003007"	"2"	"061103"
"38"	"鞋包护理"	"3"	"003008"	"2"	"061102"
"39"	"珠宝首饰"	"3"	"003009"	"2"	"061202"
"40"	"网吧"	"4"	"004001"	"2"	"080308"
"41"	"球馆"	"4"	"004002"	"2"	"080100"
"42"	"歌舞厅（KTV）"	"4"	"004003"	"2"	"080302"
"43"	"夜总会"	"4"	"004004"	"2"	"080301"
"44"	"桌球城"	"4"	"004005"	"2"	"080113"
"45"	"瑜伽健身"	"4"	"004006"	"2"	""
"46"	"休闲养生"	"4"	"004007"	"2"	""
"47"	"棋牌桌游"	"4"	"004008"	"2"	"080306"
